"YEAR_MONTH","REGION_NAME","ITEMS","COST"
202206,"EAST OF ENGLAND",820545,1900391.73
202206,"LONDON",765503,1851845.12
202206,"MIDLANDS",1333500,3086906.15
202206,"NORTH EAST AND YORKSHIRE",1495786,2965074.39
202206,"NORTH WEST",1060153,2319562.03
202206,"SOUTH EAST",894549,2636738.69
202206,"SOUTH WEST",688025,1650761.49
202207,"EAST OF ENGLAND",811490,2494037.89
202207,"LONDON",758649,2428080.01
202207,"MIDLANDS",1328588,4120667.95
202207,"NORTH EAST AND YORKSHIRE",1493004,4039475.55
202207,"NORTH WEST",1052539,3043987.46
202207,"SOUTH EAST",885702,3368211.32
202207,"SOUTH WEST",684555,2231897.04
202208,"EAST OF ENGLAND",838100,2506790.72
202208,"LONDON",787348,2420204.04
202208,"MIDLANDS",1370360,4189432.68
202208,"NORTH EAST AND YORKSHIRE",1534407,4102135.01
202208,"NORTH WEST",1081416,3059788.48
202208,"SOUTH EAST",911637,3378743.6
202208,"SOUTH WEST",707733,2257802.19
202209,"EAST OF ENGLAND",832334,2454400.62
202209,"LONDON",780481,2414749.05
202209,"MIDLANDS",1361958,4155171.94
202209,"NORTH EAST AND YORKSHIRE",1546925,4116667.82
202209,"NORTH WEST",1078595,3059456.4
202209,"SOUTH EAST",898680,3303253.15
202209,"SOUTH WEST",695150,2210896.87
202210,"EAST OF ENGLAND",821759,2263120.99
202210,"LONDON",780382,2257260.95
202210,"MIDLANDS",1343759,3830694.16
202210,"NORTH EAST AND YORKSHIRE",1521378,3777884.78
202210,"NORTH WEST",1059943,2815827.16
202210,"SOUTH EAST",902546,3152734.89
202210,"SOUTH WEST",697768,2083065.42
202211,"EAST OF ENGLAND",842774,2229162.97
202211,"LONDON",796170,2229938.23
202211,"MIDLANDS",1386418,3785493.16
202211,"NORTH EAST AND YORKSHIRE",1567524,3726772.02
202211,"NORTH WEST",1086429,2759465.7
202211,"SOUTH EAST",917507,3037142.02
202211,"SOUTH WEST",712870,2047828.29
202212,"EAST OF ENGLAND",840179,2295110.95
202212,"LONDON",784948,2250928.66
202212,"MIDLANDS",1385949,3893463.62
202212,"NORTH EAST AND YORKSHIRE",1565369,3890233.64
202212,"NORTH WEST",1092961,2895758.28
202212,"SOUTH EAST",916837,3163452.81
202212,"SOUTH WEST",703728,2075346.56
202301,"EAST OF ENGLAND",847108,2336015.61
202301,"LONDON",799478,2349272.64
202301,"MIDLANDS",1391867,3936887.6
202301,"NORTH EAST AND YORKSHIRE",1575206,3947556.19
202301,"NORTH WEST",1094066,2915224.06
202301,"SOUTH EAST",924920,3215139.82
202301,"SOUTH WEST",710367,2132017.51
202302,"EAST OF ENGLAND",782759,2106697.24
202302,"LONDON",741358,2079650.31
202302,"MIDLANDS",1283997,3559682.16
202302,"NORTH EAST AND YORKSHIRE",1440981,3484104.93
202302,"NORTH WEST",1011919,2618175.95
202302,"SOUTH EAST",847812,2865676.66
202302,"SOUTH WEST",659192,1921252.51
202303,"EAST OF ENGLAND",891340,2378013.98
202303,"LONDON",843841,2373695.98
202303,"MIDLANDS",1464036,3971729.21
202303,"NORTH EAST AND YORKSHIRE",1662496,3953402.1
202303,"NORTH WEST",1165980,2956188.47
202303,"SOUTH EAST",965596,3193397.38
202303,"SOUTH WEST",748800,2107614.71
202304,"EAST OF ENGLAND",799579,2158159.96
202304,"LONDON",755300,2118548.51
202304,"MIDLANDS",1304150,3591492.41
202304,"NORTH EAST AND YORKSHIRE",1485756,3521525.79
202304,"NORTH WEST",1037690,2663138.76
202304,"SOUTH EAST",874999,2942027.7
202304,"SOUTH WEST",673995,1958335.32
202305,"EAST OF ENGLAND",853298,2297857
202305,"LONDON",816216,2304980.16
202305,"MIDLANDS",1407883,3884575.04
202305,"NORTH EAST AND YORKSHIRE",1588359,3796391.97
202305,"NORTH WEST",1101315,2834137.62
202305,"SOUTH EAST",928331,3132640.03
202305,"SOUTH WEST",709940,2027966.59
202306,"EAST OF ENGLAND",863232,2327698.09
202306,"LONDON",830393,2343430.96
202306,"MIDLANDS",1427038,3916604.83
202306,"NORTH EAST AND YORKSHIRE",1620154,3841042.53
202306,"NORTH WEST",1122726,2885798.9
202306,"SOUTH EAST",937053,3140431.98
202306,"SOUTH WEST",722080,2085987.15
202307,"EAST OF ENGLAND",842490,2092976.74
202307,"LONDON",818402,2129904.15
202307,"MIDLANDS",1386216,3499895.63
202307,"NORTH EAST AND YORKSHIRE",1573773,3454008.57
202307,"NORTH WEST",1096227,2588303.66
202307,"SOUTH EAST",915173,2809650.12
202307,"SOUTH WEST",704831,1855184.7
202308,"EAST OF ENGLAND",857807,2129609.93
202308,"LONDON",825730,2144212.92
202308,"MIDLANDS",1422534,3594168.9
202308,"NORTH EAST AND YORKSHIRE",1625332,3535608.42
202308,"NORTH WEST",1124126,2630007.51
202308,"SOUTH EAST",928145,2876095.58
202308,"SOUTH WEST",720313,1900877.59
202309,"EAST OF ENGLAND",843715,2109452.26
202309,"LONDON",816877,2138546.13
202309,"MIDLANDS",1393282,3519654.45
202309,"NORTH EAST AND YORKSHIRE",1588981,3451200.72
202309,"NORTH WEST",1094551,2584077.18
202309,"SOUTH EAST",916599,2810875.29
202309,"SOUTH WEST",702359,1832534.95
202310,"EAST OF ENGLAND",859555,2041814.24
202310,"LONDON",837575,2086396.44
202310,"MIDLANDS",1412681,3369855.4
202310,"NORTH EAST AND YORKSHIRE",1621884,3345462.96
202310,"NORTH WEST",1114990,2491121.15
202310,"SOUTH EAST",927052,2732920.6
202310,"SOUTH WEST",715602,1791504.39
202311,"EAST OF ENGLAND",863064,2049272.82
202311,"LONDON",843431,2095532.59
202311,"MIDLANDS",1433916,3425802
202311,"NORTH EAST AND YORKSHIRE",1635334,3387991.56
202311,"NORTH WEST",1127695,2540331.17
202311,"SOUTH EAST",940225,2791376.89
202311,"SOUTH WEST",727183,1841882.83
202312,"EAST OF ENGLAND",863058,2067891.29
202312,"LONDON",829467,2100682.83
202312,"MIDLANDS",1423401,3464261.18
202312,"NORTH EAST AND YORKSHIRE",1608379,3399127.62
202312,"NORTH WEST",1119244,2516767.38
202312,"SOUTH EAST",939986,2810402.92
202312,"SOUTH WEST",716012,1802249.88
202401,"EAST OF ENGLAND",887194,2094507.53
